number,steps
12623211291,1029
6272863003,1028
6272863003,1028
6272863003,1028
6272863003,1028
18690728703,1027
18818588942,1027
18818588943,1027
18818588946,1027
18818588947,1027
18818588969,1027
18818589010,1027
18818589011,1027
18818589087,1027
18818589159,1027
18818589191,1027
18934816937,1027
19062450894,1027
19062450895,1027
9409294471,1026
9409294473,1026
9409294505,1026
9531225447,1026
14113941707,1024
14113941710,1024
14113941711,1024
14113941726,1024
14113941727,1024
14113941758,1024
14113941759,1024
14201112699,1024
14201112703,1024
14264927463,1024
14296838171,1024
14744205639,1024
7056970855,1023
7056970855,1023
7056970855,1023
7056970855,1023
7056970863,1023
7056970863,1023
7056970863,1023
7056970863,1023
7056970879,1023
7056970879,1023
7056970879,1023
7056970879,1023
20692368249,1022
10585456281,1021
10585456283,1021
10585456295,1021
10585456319,1021
10585456347,1021
15519276187,1019
15878184420,1019
15878184421,1019
15878184422,1019
15878184423,1019
15878184425,1019
15878184427,1019
15878184443,1019
15878184479,1019
15878184489,1019
15878184521,1019
15878184537,1019
15878184559,1019
15878184603,1019
15878184630,1019
15878184631,1019
15976251787,1019
16083942943,1019
16318426239,1019
7939092210,1018
7939092210,1018
7939092210,1018
7939092210,1018
7939092211,1018
7939092211,1018
7939092211,1018
7939092211,1018
7939092315,1018
7939092315,1018
7939092315,1018
7939092315,1018
3969546105,1017
3969546105,1017
3969546105,1017
11908638316,1016
11908638317,1016
11908638318,1016
11908638319,1016
11908638363,1016
11908638367,1016
11908638390,1016
11908638391,1016
11908638402,1016
11908638403,1016
11908638473,1016
11982188841,1016
12602214639,1016
5954319158,1015
5954319158,1015
5954319158,1015
5954319158,1015
5954319159,1015
5954319159,1015
5954319159,1015
5954319159,1015
5954319195,1015
5954319195,1015
5954319195,1015
5954319195,1015
5954319201,1015
5954319201,1015
5954319201,1015
5954319201,1015
2977159579,1014
2977159579,1014
2977159579,1014
17156066335,1014
17459185711,1014
17479971951,1014
17862957474,1014
17862957475,1014
17862957476,1014
17862957477,1014
17862957478,1014
17862957479,1014
17862957481,1014
17862957499,1014
17862957511,1014
17862957543,1014
17862957545,1014
17862957551,1014
17862957586,1014
17862957587,1014
17862957604,1014
17862957605,1014
17862957606,1014
17862957609,1014
17862957679,1014
17862957710,1014
17862957711,1014
17973283260,1014
17973283261,1014
17973283262,1014
17973283266,1014
17973283267,1014
18660635263,1014
18903321959,1014
8931478737,1013
8931478738,1013
8931478739,1013
8931478793,1013
8931478802,1013
8931478803,1013
8931478855,1013
8986641630,1013
8986641631,1013
8986641633,1013
4465739369,1012
4465739369,1012
4465739369,1012
4465739401,1012
4465739401,1012
4465739401,1012
4493320815,1012
4493320815,1012
4493320815,1012
13397218104,1011
13397218106,1011
13397218107,1011
13397218108,1011
13397218109,1011
13397218110,1011
13397218111,1011
13397218159,1011
13397218190,1011
13397218191,1011
13397218204,1011
13397218205,1011
13397218206,1011
13397218207,1011
13397218283,1011
13479962446,1011
13479962447,1011
13479962450,1011
13479962451,1011
13540536615,1011
6698609052,1010
6698609052,1010
6698609052,1010
6698609052,1010
6698609053,1010
6698609053,1010
6698609053,1010
6698609053,1010
6698609054,1010
6698609054,1010
6698609054,1010
6698609054,1010
6698609055,1010
6698609055,1010
6698609055,1010
6698609055,1010
6698609095,1010
6698609095,1010
6698609095,1010
6698609095,1010
6698609102,1010
6698609102,1010
6698609102,1010
6698609102,1010
6698609103,1010
6698609103,1010
6698609103,1010
6698609103,1010
6739981223,1010
6739981223,1010
6739981223,1010
6739981223,1010
6739981225,1010
6739981225,1010
6739981225,1010
6739981225,1010
3349304526,1009
3349304526,1009
3349304526,1009
3349304527,1009
3349304527,1009
3349304527,1009
3349304551,1009
3349304551,1009
3349304551,1009
19006976751,1009
19080590571,1009
19837099243,1009
20095827160,1009
20095827161,1009
20095827162,1009
20095827163,1009
20095827164,1009
20095827165,1009
20095827166,1009
20095827167,1009
20095827186,1009
20095827187,1009
20095827239,1009
20095827247,1009
20095827286,1009
20095827287,1009
20095827308,1009
20095827309,1009
20095827310,1009
20095827311,1009
20095827391,1009
20095827425,1009
20219943670,1009
20219943671,1009
20219943673,1009
20219943676,1009
20219943677,1009
20219943678,1009
20310804923,1009
20324740255,1009
1674652263,1008
1674652263,1008
1674652263,1008
10047913580,1008
10047913581,1008
10047913582,1008
10047913583,1008
10047913593,1008
10047913643,1008
10047913654,1008
10047913655,1008
10109971835,1008
10109971838,1008
10109971839,1008
5023956790,1007
5023956790,1007
5023956790,1007
5023956791,1007
5023956791,1007
5023956791,1007
5023956827,1007
5023956827,1007
5023956827,1007
5054985919,1007
5054985919,1007
5054985919,1007
2511978395,1006
2511978395,1006
2511978395,1006
15055215993,1006
15071870370,1006
15071870371,1006
15071870372,1006
15071870373,1006
15071870374,1006
15071870375,1006
15071870379,1006
15071870390,1006
15071870391,1006
15071870427,1006
15071870465,1006
15071870482,1006
15071870483,1006
15071870569,1006
15164957753,1006
15164957755,1006
15164957758,1006
15164957759,1006
16408062402,1006
16408062403,1006
7535935185,1005
7535935185,1005
7535935185,1005
7535935185,1005
7535935186,1005
7535935186,1005
7535935186,1005
7535935186,1005
7535935187,1005
7535935187,1005
7535935187,1005
7535935187,1005
7535935195,1005
7535935195,1005
7535935195,1005
7535935195,1005
7535935241,1005
7535935241,1005
7535935241,1005
7535935241,1005
7582478879,1005
7582478879,1005
7582478879,1005
7582478879,1005
8204031201,1005
8204031201,1005
8204031201,1005
8204031201,1005
3767967593,1004
3767967593,1004
3767967593,1004
11291411995,1003
11303902776,1003
11303902778,1003
11303902779,1003
11303902780,1003
11303902781,1003
11303902791,1003
11303902793,1003
11303902827,1003
11303902849,1003
11303902862,1003
11303902863,1003
11303902875,1003
11303902926,1003
11303902927,1003
11373718315,1003
11373718319,1003
11424827769,1003
12306046802,1003
12306046803,1003
5651951388,1002
5651951388,1002
5651951388,1002
5651951389,1002
5651951389,1002
5651951389,1002
5651951390,1002
5651951390,1002
5651951390,1002
5651951431,1002
5651951431,1002
5651951431,1002
5651951463,1002
5651951463,1002
5651951463,1002
6153023401,1002
6153023401,1002
6153023401,1002
6153023401,1002
2825975694,1001
2825975694,1001
2825975694,1001
2825975695,1001
2825975695,1001
2825975695,1001
16099248295,1001
16737552487,1001
16901948187,1001
16937117991,1001
16937117993,1001
16955854168,1001
16955854169,1001
16955854170,1001
16955854172,1001
16955854173,1001
16955854177,1001
16955854185,1001
16955854187,1001
16955854188,1001
16955854189,1001
16955854190,1001
16955854191,1001
16955854201,1001
16955854230,1001
16955854231,1001
16955854233,1001
16955854241,1001
16955854273,1001
16955854274,1001
16955854275,1001
16955854294,1001
16955854295,1001
16955854311,1001
16955854313,1001
16955854390,1001
16955854391,1001
17060577473,1001
17060577474,1001
17060577475,1001
17060577479,1001
17137241654,1001
17137241655,1001
18459070204,1001
18459070205,1001
18459070206,1001
18459070207,1001
1412987847,1000
1412987847,1000
1412987847,1000
8477927084,1000
8477927084,1000
8477927084,1000
8477927084,1000
8477927085,1000
8477927085,1000
8477927085,1000
8477927085,1000
8477927086,1000
8477927086,1000
8477927086,1000
8477927086,1000
8477927094,1000
8477927094,1000
8477927094,1000
8477927094,1000
8477927095,1000
8477927095,1000
8477927095,1000
8477927095,1000
8477927115,1000
8477927115,1000
8477927115,1000
8477927115,1000
8477927137,1000
8477927137,1000
8477927137,1000
8477927137,1000
8477927147,1000
8477927147,1000
8477927147,1000
8477927147,1000
8477927195,1000
8477927195,1000
8477927195,1000
8477927195,1000
8530288737,1000
8530288737,1000
8530288737,1000
8530288737,1000
8568620827,1000
8568620827,1000
8568620827,1000
8568620827,1000
9229535102,1000
9229535103,1000
4238963542,999
4238963542,999
4238963542,999
4238963543,999
4238963543,999
4238963543,999
4238963547,999
4238963547,999
4238963547,999
4614767551,999
4614767551,999
4614767551,999
2119481771,998
2119481771,998
2119481771,998
12425020281,998
12702838494,998
12702838495,998
12716890626,998
12716890627,998
12716890628,998
12716890629,998
12716890630,998
12716890633,998
12716890635,998
12716890638,998
12716890639,998
12716890642,998
12716890643,998
12716890651,998
12716890665,998
12716890673,998
12716890674,998
12716890675,998
12716890681,998
12716890705,998
12716890706,998
12716890707,998
12716890721,998
12716890735,998
12716890793,998
12795433105,998
12795433106,998
12795433107,998
12852931241,998
12860998815,998
12861749451,998
13844302654,998
13844302655,998
6351419247,997
6351419247,997
6351419247,997
6351419247,997
6358445313,997
6358445313,997
6358445313,997
6358445313,997
6358445314,997
6358445314,997
6358445314,997
6358445314,997
6358445315,997
6358445315,997
6358445315,997
6358445315,997
6358445319,997
6358445319,997
6358445319,997
6358445319,997
6358445321,997
6358445321,997
6358445321,997
6358445321,997
6358445337,997
6358445337,997
6358445337,997
6358445337,997
6358445353,997
6358445353,997
6358445353,997
6358445353,997
6397716553,997
6397716553,997
6397716553,997
6397716553,997
6922151327,997
6922151327,997
6922151327,997
